Title,Authors,Subjetcs
Automatic Programming of Cellular Automata and Artificial Neural  Networks Guided by Philosophy,"Patrik Christen, 
Olivier Del Fabbro","Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Multiagent Systems (cs.MA); Neural and Evolutionary Computing (cs.NE); Programming Languages (cs.PL)
"
Robust Goal Recognition with Operator-Counting Heuristics,"Felipe Meneguzzi, 
André Grahl Pereira, 
Ramon Fraga Pereira",Artificial Intelligence (cs.AI)
AI in the media and creative industries,"Giuseppe Amato (CNR PISA), 
Malte Behrmann, 
Frédéric Bimbot (PANAMA), 
Baptiste Caramiaux (LRI, EX-SITU), 
Fabrizio Falchi (CNR PISA), 
Ander Garcia, 
Joost Geurts (Inria), 
Jaume Gibert, 
Guillaume Gravier (LinkMedia), 
Hadmut Holken, 
Hartmut Koenitz (HKU), 
Sylvain Lefebvre (MFX), 
Antoine Liutkus (LORIA, ZENITH), 
Fabien Lotte (Potioc, LaBRI), 
Andrew Perkis (NTNU), 
Rafael Redondo, 
Enrico Turrin (FEP), 
Thierry Vieville (Mnemosyne), 
Emmanuel Vincent (MULTISPEECH)","Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE)
"
Memory Bounded Open-Loop Planning in Large POMDPs using Thompson  Sampling,"Thomy Phan, 
Lenz Belzner, 
Marie Kiermeier, 
Markus Friedrich, 
Kyrill Schmid, 
Claudia Linnhoff-Popien",Artificial Intelligence (cs.AI)
Integrating Artificial Intelligence into Weapon Systems,"Philip Feldman, 
Aaron Dant, 
Aaron Massey","Artificial Intelligence (cs.AI); Computers and Society (cs.CY); Robotics (cs.RO)
"
Hybrid Predictive Model: When an Interpretable Model Collaborates with a  Black-box Model,"Tong Wang, 
Qihang Lin","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Semi-supervised and Population Based Training for Voice Commands  Recognition,"Oguz H. Elibol, 
Gokce Keskin, 
Anil Thomas","Audio and Speech Processing (eess.AS); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
Quantifying Teaching Behaviour in Robot Learning from Demonstration,"Aran Sena, 
Matthew J Howard","Robotics (cs.RO); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)
"
The Regression Tsetlin Machine: A Tsetlin Machine for Continuous Output  Problems,"K. Darshana Abeyrathna, 
Ole-Christoffer Granmo, 
Lei Jiao, 
Morten Goodwin","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
On the Detection of Mutual Influences and Their Consideration in  Reinforcement Learning Processes,"Stefan Rudolph, 
Sven Tomforde, 
Jörg Hähner","Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
A Scheme for Continuous Input to the Tsetlin Machine with Applications  to Forecasting Disease Outbreaks,"K. Darshana Abeyrathna, 
Ole-Christoffer Granmo, 
Xuan Zhang, 
Morten Goodwin","Machine Learning (cs.LG); Artificial Intelligence (cs.AI)
"
Do Autonomous Agents Benefit from Hearing?,"Abraham Woubie, 
Anssi Kanervisto, 
Janne Karttunen, 
Ville Hautamaki","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Sound (cs.SD); Machine Learning (stat.ML)
"
Autonomous Management of Energy-Harvesting IoT Nodes Using Deep  Reinforcement Learning,"Abdulmajid Murad, 
Frank Alexander Kraemer, 
Kerstin Bach, 
Gavin Taylor","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Signal Processing (eess.SP)
"
Design of Artificial Intelligence Agents for Games using Deep  Reinforcement Learning,Andrei Claudiu Roibu,"Machine Learning (cs.LG); Artificial Intelligence (cs.AI)
"
Emergent Escape-based Flocking Behavior using Multi-Agent Reinforcement  Learning,"Carsten Hahn, 
Thomy Phan, 
Thomas Gabor, 
Lenz Belzner, 
Claudia Linnhoff-Popien","Multiagent Systems (cs.MA); Artificial Intelligence (cs.AI)
"
Survey on Evaluation Methods for Dialogue Systems,"Jan Deriu, 
Alvaro Rodrigo, 
Arantxa Otegi, 
Guillermo Echegoyen, 
Sophie Rosset, 
Eneko Agirre, 
Mark Cieliebak","Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC); Machine Learning (cs.LG)
"
Exact Adversarial Attack to Image Captioning via Structured Output  Learning with Latent Variables,"Yan Xu, 
Baoyuan Wu, 
Fumin Shen, 
Yanbo Fan, 
Yong Zhang, 
Heng Tao Shen, 
Wei Liu","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)
"
Attention-based Deep Reinforcement Learning for Multi-view Environments,"Elaheh Barati, 
Xuewen Chen, 
Zichun Zhong","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
Reinforcement Learning in Non-Stationary Environments,"Sindhu Padakandla, 
Prabuchandran K. J, 
Shalabh Bhatnagar","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
"
GAN-based Deep Distributional Reinforcement Learning for Resource  Management in Network Slicing,"Yuxiu Hua, 
Rongpeng Li, 
Zhifeng Zhao, 
Honggang Zhang, 
Xianfu Chen","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Networking and Internet Architecture (cs.NI); Machine Learning (stat.ML)
"
Building 3D Object Models during Manipulation by Reconstruction-Aware  Trajectory Optimization,"Kanrun Huang, 
Tucker Hermans","Robotics (cs.RO); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)
"
A reconstruction of the multipreference closure,"Laura Giordano, 
Valentina Gliozzi","Logic in Computer Science (cs.LO); Artificial Intelligence (cs.AI)
"
Solving zero-sum extensive-form games with arbitrary payoff uncertainty  models,"Juan Leni, 
John Levine, 
John Quigley","Computer Science and Game Theory (cs.GT); Artificial Intelligence (cs.AI)
"
Mappa Mundi: An Interactive Artistic Mind Map Generator with Artificial  Imagination,"Ruixue Liu, 
Baoyang Chen, 
Meng Chen, 
Youzheng Wu, 
Zhijie Qiu, 
Xiaodong He","Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC)
"
AI Enabling Technologies: A Survey,"Vijay Gadepally, 
Justin Goodwin, 
Jeremy Kepner, 
Albert Reuther, 
Hayley Reynolds, 
Siddharth Samsi, 
Jonathan Su, 
David Martinez",Artificial Intelligence (cs.AI)
General Method for Prime-point Cyclic Convolution over the Real Field,"Qi Cai, 
Tsung-Ching Lin, 
Yuanxin Wu, 
Wenxian Yu, 
Trieu-Kien Truong",Artificial Intelligence (cs.AI)
2-bit Model Compression of Deep Convolutional Neural Network on ASIC  Engine for Image Retrieval,"Bin Yang, 
Lin Yang, 
Xiaochun Li, 
Wenhan Zhang, 
Hua Zhou, 
Yequn Zhang, 
Yongxiong Ren, 
Yinbo Shi",Artificial Intelligence (cs.AI)
The Effect of Network Width on Stochastic Gradient Descent and  Generalization: an Empirical Study,"Daniel S. Park, 
Jascha Sohl-Dickstein, 
Quoc V. Le, 
Samuel L. Smith","Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)
"
Interactive Image Generation Using Scene Graphs,"Gaurav Mittal, 
Shubham Agrawal, 
Anuva Agarwal, 
Sushant Mehta, 
Tanya Marwah","Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
"
